Geography,BusinessLine,Account,SubCategory,Period,Value
AFR,Digital Workplace,ATTIJARIWAFA BANK,Revenue Total,001.2024,221.28
AFR,Digital Workplace,ATTIJARIWAFA BANK,Revenue External,001.2024,221.28
AFR,Digital Workplace,ATTIJARIWAFA BANK,ER Sales of Service,001.2024,221.28
AFR,Digital Workplace,ATTIJARIWAFA BANK,Personnel Costs,001.2024,-176.6677051
AFR,Digital Workplace,ATTIJARIWAFA BANK,Personnel Expenses,001.2024,-7.297866954
AFR,Digital Workplace,ATTIJARIWAFA BANK,Personnel Expenses Direct,001.2024,-7.297866954
AFR,Digital Workplace,ATTIJARIWAFA BANK,Subco Direct,001.2024,-32.7542344
AFR,Digital Workplace,ATTIJARIWAFA BANK,Subco Direct External,001.2024,-32.7542344
AFR,Digital Workplace,ATTIJARIWAFA BANK,Outsourced Services Direct,001.2024,-1.50551075
AFR,Digital Workplace,ATTIJARIWAFA BANK,Outsourced Services Direct Internal,001.2024,-1.50551075
AFR,Digital Workplace,ATTIJARIWAFA BANK,Contra-accounts,001.2024,-135.110093
AFR,Digital Workplace,ATTIJARIWAFA BANK,OM,001.2024,44.61229491
AFR,Digital Workplace,BAYER,Revenue Total,001.2024,-4.45269782
AFR,Digital Workplace,BAYER,Revenue External,001.2024,-4.45269782
AFR,Digital Workplace,BAYER,ER Sales of Service,001.2024,-4.45269782
AFR,Digital Workplace,BAYER,Personnel Costs,001.2024,-13.93744912
AFR,Digital Workplace,BAYER,Subco Direct,001.2024,3.641162879
AFR,Digital Workplace,BAYER,Subco Direct External,001.2024,3.641162879
AFR,Digital Workplace,BAYER,Outsourced Services Direct,001.2024,-15.99557764
AFR,Digital Workplace,BAYER,Outsourced Services Direct External,001.2024,-15.99557764
AFR,Digital Workplace,BAYER,Contra-accounts,001.2024,-1.583034354
AFR,Digital Workplace,BAYER,Non Personnel Costs,001.2024,-1.752863066
AFR,Digital Workplace,BAYER,Other means of production,001.2024,-1.752863066
AFR,Digital Workplace,BAYER,OM,001.2024,-20.14301
AFR,Digital Workplace,CARRIER,Revenue Total,001.2024,0.420061399
AFR,Digital Workplace,CARRIER,Revenue External,001.2024,0.420061399
AFR,Digital Workplace,CARRIER,ER Sales of Service,001.2024,0.420061399
AFR,Digital Workplace,CARRIER,OM,001.2024,0.420061399
AFR,Digital Workplace,DAIMLER GROUP,Revenue Total,001.2024,25.07862816
AFR,Digital Workplace,DAIMLER GROUP,Revenue External,001.2024,25.07862816
AFR,Digital Workplace,DAIMLER GROUP,ER Sales of Service,001.2024,25.07862816
AFR,Digital Workplace,DAIMLER GROUP,Personnel Costs,001.2024,-15.70791496
AFR,Digital Workplace,DAIMLER GROUP,Contra-accounts,001.2024,-15.70791496
AFR,Digital Workplace,DAIMLER GROUP,OM,001.2024,9.370713197
AFR,Digital Workplace,ENEL,Subco Direct,001.2024,-0.182155036
AFR,Digital Workplace,ENEL,Subco Direct External,001.2024,-0.182155036
AFR,Digital Workplace,ENEL,Outsourced Services Direct,001.2024,4.243273326
AFR,Digital Workplace,ENEL,Outsourced Services Direct External,001.2024,4.243273326
AFR,Digital Workplace,ENEL,Contra-accounts,001.2024,-4.06111829
AFR,Digital Workplace,JOHNSON & JOHNSON,Revenue Total,001.2024,5.529282955
AFR,Digital Workplace,JOHNSON & JOHNSON,Revenue External,001.2024,5.529282955
AFR,Digital Workplace,JOHNSON & JOHNSON,ER Sales of Service,001.2024,5.529282955
AFR,Digital Workplace,JOHNSON & JOHNSON,Personnel Costs,001.2024,-6.891561526
AFR,Digital Workplace,JOHNSON & JOHNSON,Outsourced Services Direct,001.2024,0.000456703
AFR,Digital Workplace,JOHNSON & JOHNSON,Outsourced Services Direct External,001.2024,0.000456703
AFR,Digital Workplace,JOHNSON & JOHNSON,Contra-accounts,001.2024,-6.892018229
AFR,Digital Workplace,JOHNSON & JOHNSON,OM,001.2024,-1.36227857
AFR,Digital Workplace,OTIS,Revenue Total,001.2024,3.952866809
